level,slot,file,words,paras,sents,msl,lex,over_A1,cw_A1,unk_A1,over_A2,cw_A2,unk_A2,over_B1,cw_B1,unk_B1,over_B2,cw_B2,unk_B2
A2,A2,初级1_01.txt,57,5,8,7.12,50,0.0385,52,3,0.0,52,3,0.0,52,3,0.0,52,3
A2,A2,初级1_02.txt,75,8,15,5.0,-65,0.1765,68,4,0.1029,68,4,0.0,68,4,0.0,68,4
A2,A2,初级1_03.txt,68,8,15,4.53,53,0.1231,65,1,0.0615,65,1,0.0308,65,1,0.0308,65,1
A2,A2,初级1_04.txt,70,10,12,5.83,-2,0.0667,60,9,0.0,60,9,0.0,60,9,0.0,60,9
A2,A2,初级1_05.txt,67,9,10,6.7,19,0.1818,55,8,0.1273,55,8,0.0727,55,8,0.0,55,8
A2,A2,初级1_06.txt,71,8,8,8.88,134,0.0909,66,2,0.0152,66,2,0.0,66,2,0.0,66,2
A2,A2,初级1_07.txt,55,8,5,11.0,309,0.1667,48,6,0.0625,48,6,0.0208,48,6,0.0,48,6
A2,A2,初级1_08.txt,63,9,8,7.88,76,0.0893,56,3,0.0,56,3,0.0,56,3,0.0,56,3
A2,A2,初级1_09.txt,73,9,4,18.25,533,0.1034,58,12,0.0172,58,12,0.0,58,12,0.0,58,12
A2,A2,初级1_10.txt,79,9,11,7.18,87,0.1408,71,6,0.0423,71,6,0.0,71,6,0.0,71,6
A2,A2,初级1_11.txt,76,6,10,7.6,51,0.2,75,0,0.0533,75,0,0.0133,75,0,0.0,75,0
A2,A2,初级1_12.txt,77,7,8,9.62,122,0.125,72,3,0.0417,72,3,0.0,72,3,0.0,72,3
A2,A2,初级1_13.txt,61,7,6,10.17,255,0.25,56,4,0.0357,56,4,0.0,56,4,0.0,56,4
A2,A2,初级1_14.txt,67,10,10,6.7,86,0.2037,54,5,0.0556,54,5,0.0185,54,5,0.0,54,5
A2,A2,初级1_15.txt,72,8,8,9.0,180,0.1538,65,4,0.0154,65,4,0.0,65,4,0.0,65,4
A2,A2,初级2_01.txt,68,6,8,8.5,143,0.082,61,3,0.0164,61,3,0.0,61,3,0.0,61,3
A2,A2,初级2_02.txt,74,5,8,9.25,168,0.0845,71,1,0.0282,71,1,0.0141,71,1,0.0,71,1
A2,A2,初级2_03.txt,66,3,13,5.08,106,0.1667,66,0,0.0909,66,0,0.0152,66,0,0.0,66,0
A2,A2,初级2_04.txt,61,3,7,8.71,67,0.2105,57,2,0.0702,57,2,0.0702,57,2,0.0,57,2
A2,A2,初级2_05.txt,62,2,8,7.75,120,0.3051,59,2,0.2034,59,2,0.0,59,2,0.0,59,2
A2,A2,初级2_06.txt,78,7,10,7.8,97,0.0909,77,1,0.0519,77,1,0.026,77,1,0.013,77,1
A2,A2,初级2_07.txt,75,3,7,10.71,252,0.1268,71,2,0.0141,71,2,0.0,71,2,0.0,71,2
A2,A2,初级2_08.txt,56,2,7,8.0,144,0.1455,55,0,0.0182,55,0,0.0,55,0,0.0,55,0
A2,A2,初级2_09.txt,74,3,11,6.73,34,0.1618,68,0,0.0588,68,0,0.0147,68,0,0.0,68,0
A2,A2,初级2_10.txt,56,2,9,6.22,144,0.1765,51,2,0.0784,51,2,0.0588,51,2,0.0,51,2
A2,A2,初级2_11.txt,57,2,6,9.5,235,0.1852,54,2,0.0556,54,2,0.0556,54,2,0.0,54,2
A2,A2,初级2_12.txt,78,2,10,7.8,116,0.1733,75,2,0.0667,75,2,0.0133,75,2,0.0,75,2
A2,A2,初级2_13.txt,95,4,8,11.88,311,0.3404,94,0,0.1702,94,0,0.0319,94,0,0.0,94,0
A2,A2,初级2_14.txt,137,7,23,5.96,38,0.2821,117,9,0.1538,117,9,0.0855,117,9,0.0171,117,9
A2,A2,初级2_15.txt,132,6,9,14.67,355,0.0508,118,4,0.0,118,4,0.0,118,4,0.0,118,4
A2,A2,初级3_01.txt,81,5,17,4.76,-43,0.0921,76,2,0.0132,76,2,0.0,76,2,0.0,76,2
A2,A2,初级3_02.txt,66,5,10,6.6,83,0.2462,65,0,0.0923,65,0,0.0615,65,0,0.0,65,0
A2,A2,初级3_03.txt,72,4,8,9.0,138,0.1765,68,2,0.0147,68,2,0.0,68,2,0.0,68,2
A2,A2,初级3_04.txt,74,5,12,6.17,69,0.0141,71,1,0.0,71,1,0.0,71,1,0.0,71,1
A2,A2,初级3_05.txt,60,3,10,6.0,45,0.2034,59,1,0.0339,59,1,0.0,59,1,0.0,59,1
A2,A2,初级3_06.txt,62,4,8,7.75,23,0.1786,56,3,0.0,56,3,0.0,56,3,0.0,56,3
A2,A2,初级3_07.txt,67,4,12,5.58,125,0.0758,66,1,0.0455,66,1,0.0,66,1,0.0,66,1
A2,A2,初级3_08.txt,63,2,7,9.0,222,0.1765,51,3,0.1176,51,3,0.0,51,3,0.0,51,3
A2,A2,初级3_09.txt,62,5,8,7.75,362,0.2951,61,0,0.1475,61,0,0.0,61,0,0.0,61,0
A2,A2,初级3_10.txt,123,6,12,10.25,221,0.1949,118,3,0.0593,118,3,0.0339,118,3,0.0,118,3
A2,A2,初级3_11.txt,72,5,8,9.0,180,0.1449,69,2,0.058,69,2,0.0,69,2,0.0,69,2
A2,A2,初级3_12.txt,82,4,10,8.2,74,0.2469,81,1,0.0864,81,1,0.0123,81,1,0.0,81,1
A2,A2,初级3_13.txt,80,8,10,8.0,216,0.0548,73,5,0.0137,73,5,0.0137,73,5,0.0137,73,5
A2,A2,初级3_14.txt,73,5,8,9.12,81,0.3333,69,1,0.1159,69,1,0.0,69,1,0.0,69,1
A2,A2,初级3_15.txt,76,5,11,6.91,40,0.087,69,4,0.0145,69,4,0.0,69,4,0.0,69,4
A2,A2,初级4_01.txt,67,4,10,6.7,-4,0.3651,63,3,0.0794,63,3,0.0,63,3,0.0,63,3
A2,A2,初级4_02.txt,83,6,11,7.55,62,0.2794,68,7,0.0588,68,7,0.0,68,7,0.0,68,7
A2,A2,初级4_03.txt,159,5,17,9.35,194,0.1656,151,3,0.0728,151,3,0.0066,151,3,0.0066,151,3
A2,A2,初级4_04.txt,91,4,14,6.5,239,0.1446,83,4,0.0723,83,4,0.0,83,4,0.0,83,4
A2,A2,初级4_05.txt,75,4,10,7.5,128,0.1324,68,3,0.0441,68,3,0.0,68,3,0.0,68,3
A2,A2,初级4_06.txt,99,5,13,7.62,23,0.1979,96,3,0.0521,96,3,0.0,96,3,0.0,96,3
A2,A2,初级4_07.txt,96,3,12,8.0,166,0.1848,92,3,0.0652,92,3,0.0,92,3,0.0,92,3
A2,A2,初级4_08.txt,78,5,8,9.75,281,0.1831,71,3,0.0423,71,3,0.0,71,3,0.0,71,3
A2,A2,初级4_09.txt,134,6,17,7.88,117,0.2197,132,1,0.0758,132,1,0.0076,132,1,0.0,132,1
A2,A2,初级4_10.txt,82,5,15,5.47,-49,0.1795,78,2,0.1026,78,2,0.0256,78,2,0.0,78,2
A2,A2,初级4_11.txt,77,6,14,5.5,14,0.3816,76,0,0.2105,76,0,0.0,76,0,0.0,76,0
A2,A2,初级4_12.txt,84,5,8,10.5,230,0.0909,77,3,0.0,77,3,0.0,77,3,0.0,77,3
A2,A2,初级4_13.txt,115,4,11,10.45,225,0.1944,108,3,0.037,108,3,0.0093,108,3,0.0093,108,3
A2,A2,初级4_14.txt,95,4,9,10.56,393,0.1935,93,1,0.043,93,1,0.0323,93,1,0.0,93,1
A2,A2,初级4_15.txt,152,6,20,7.6,91,0.1224,147,2,0.0408,147,2,0.0,147,2,0.0,147,2
A2,A2,初级5_01.txt,65,4,8,8.12,177,0.1525,59,1,0.0,59,1,0.0,59,1,0.0,59,1
A2,A2,初级5_02.txt,65,3,7,9.29,183,0.1719,64,1,0.0625,64,1,0.0,64,1,0.0,64,1
A2,A2,初级5_03.txt,159,8,15,10.6,269,0.2685,149,2,0.094,149,2,0.0067,149,2,0.0,149,2
A2,A2,初级5_04.txt,77,5,9,8.56,249,0.3158,76,1,0.0789,76,1,0.0263,76,1,0.0,76,1
A2,A2,初级5_05.txt,78,4,7,11.14,267,0.1507,73,2,0.0411,73,2,0.0,73,2,0.0,73,2
A2,A2,初级5_06.txt,81,5,11,7.36,55,0.1169,77,1,0.0519,77,1,0.0,77,1,0.0,77,1
A2,A2,初级5_07.txt,88,6,9,9.78,124,0.2099,81,3,0.0123,81,3,0.0123,81,3,0.0,81,3
A2,A2,初级5_08.txt,170,7,14,12.14,249,0.2065,155,8,0.0323,155,8,0.0065,155,8,0.0065,155,8
A2,A2,初级5_09.txt,86,5,11,7.82,211,0.3133,83,2,0.1566,83,2,0.012,83,2,0.012,83,2
A2,A2,初级5_10.txt,74,4,10,7.4,125,0.2286,70,2,0.1,70,2,0.0143,70,2,0.0,70,2
A2,A2,初级5_11.txt,88,3,10,8.8,131,0.2439,82,1,0.0244,82,1,0.0,82,1,0.0,82,1
A2,A2,初级5_12.txt,73,2,7,10.43,201,0.2394,71,1,0.0282,71,1,0.0141,71,1,0.0,71,1
A2,A2,初级5_13.txt,96,6,13,7.38,107,0.1209,91,2,0.011,91,2,0.0,91,2,0.0,91,2
A2,A2,初级5_14.txt,92,4,10,9.2,97,0.2195,82,4,0.0854,82,4,0.0732,82,4,0.0,82,4
A2,A2,初级5_15.txt,94,5,14,6.71,32,0.2159,88,4,0.0341,88,4,0.0,88,4,0.0,88,4
A2,A2,初级6_01.txt,80,3,14,5.71,1,0.12,75,4,0.04,75,4,0.0,75,4,0.0,75,4
A2,A2,初级6_02.txt,86,4,8,10.75,238,0.0676,74,3,0.0135,74,3,0.0,74,3,0.0,74,3
A2,A2,初级6_03.txt,82,5,14,5.86,5,0.1852,81,1,0.0741,81,1,0.0617,81,1,0.0617,81,1
A2,A2,初级6_04.txt,61,5,8,7.62,165,0.2667,60,1,0.05,60,1,0.0333,60,1,0.0,60,1
A2,A2,初级6_05.txt,74,2,13,5.69,8,0.3429,70,3,0.0429,70,3,0.0143,70,3,0.0,70,3
A2,A2,初级6_06.txt,88,3,10,8.8,131,0.2184,87,1,0.0805,87,1,0.023,87,1,0.0,87,1
A2,A2,初级6_07.txt,70,5,11,6.36,-21,0.2667,60,2,0.1,60,2,0.0,60,2,0.0,60,2
A2,A2,初级6_08.txt,77,6,12,6.42,75,0.2879,66,5,0.0909,66,5,0.0,66,5,0.0,66,5
A2,A2,初级6_09.txt,165,6,19,8.68,150,0.1646,158,4,0.0253,158,4,0.0127,158,4,0.0063,158,4
A2,A2,初级6_10.txt,77,5,9,8.56,308,0.127,63,4,0.0476,63,4,0.0,63,4,0.0,63,4
A2,A2,初级6_11.txt,83,3,8,10.38,261,0.1447,76,3,0.0,76,3,0.0,76,3,0.0,76,3
A2,A2,初级6_12.txt,149,6,27,5.52,130,0.2667,135,6,0.0296,135,6,0.0074,135,6,0.0074,135,6
A2,A2,初级6_13.txt,177,7,24,7.38,185,0.1437,167,1,0.018,167,1,0.012,167,1,0.0,167,1
A2,A2,初级6_14.txt,156,6,28,5.57,-13,0.25,144,5,0.1042,144,5,0.0,144,5,0.0,144,5
